"","Site","Location","Host.clade","Habitat","Mean_annual_temperature","Mean_precipitation_driest_quarter","Mean_precipitation_wettest_quarter","Mean_annual_precipitation","Site.Host","RICHNESS","ln_richness","OTU0","OTU1","OTU100","OTU102","OTU104","OTU106","OTU107","OTU108","OTU113","OTU114","OTU115","OTU116","OTU117","OTU118","OTU119","OTU123","OTU124","OTU126","OTU127","OTU128","OTU13","OTU130","OTU131","OTU132","OTU135","OTU136","OTU139","OTU14","OTU141","OTU142","OTU143","OTU144","OTU145","OTU15","OTU150","OTU161","OTU162","OTU163","OTU164","OTU166","OTU167","OTU17","OTU171","OTU173","OTU174","OTU175","OTU177","OTU178","OTU18","OTU181","OTU185","OTU187","OTU188","OTU189","OTU191","OTU192","OTU194","OTU196","OTU198","OTU2","OTU20","OTU200","OTU204","OTU21","OTU210","OTU214","OTU217","OTU218","OTU22","OTU224","OTU225","OTU226","OTU227","OTU228","OTU23","OTU231","OTU233","OTU234","OTU235","OTU238","OTU239","OTU24","OTU240","OTU241","OTU242","OTU243","OTU246","OTU248","OTU249","OTU25","OTU251","OTU252","OTU253","OTU254","OTU255","OTU26","OTU262","OTU263","OTU264","OTU27","OTU270","OTU271","OTU273","OTU275","OTU278","OTU279","OTU28","OTU283","OTU284","OTU286","OTU287","OTU288","OTU289","OTU29","OTU290","OTU294","OTU298","OTU299","OTU3","OTU303","OTU306","OTU308","OTU31","OTU310","OTU312","OTU313","OTU314","OTU316","OTU317","OTU319","OTU32","OTU321","OTU322","OTU323","OTU324","OTU328","OTU330","OTU332","OTU333","OTU336","OTU337","OTU338","OTU34","OTU341","OTU347","OTU350","OTU352","OTU354","OTU355","OTU356","OTU358","OTU359","OTU361","OTU364","OTU365","OTU367","OTU369","OTU37","OTU370","OTU378","OTU379","OTU38","OTU381","OTU383","OTU384","OTU386","OTU387","OTU389","OTU39","OTU391","OTU396","OTU397","OTU4","OTU402","OTU41","OTU416","OTU417","OTU42","OTU427","OTU438","OTU439","OTU44","OTU446","OTU447","OTU45","OTU451","OTU46","OTU47","OTU48","OTU49","OTU5","OTU50","OTU52","OTU54","OTU55","OTU57","OTU58","OTU59","OTU6","OTU61","OTU66","OTU67","OTU69","OTU70","OTU72","OTU73","OTU75","OTU76","OTU77","OTU78","OTU79","OTU8","OTU80","OTU83","OTU84","OTU88","OTU89","OTU9","OTU90","OTU91","OTU92","OTU93","OTU96","OTU97","OTU98","OTU99"
"23","Santa Rita Experimental Range","Arizona","Angiospermae","Grassland",18,5,109,40,"Santa Rita Experimental Range_Angiospermae",7,1.94591014905531,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,39,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Sierra Prieta","Arizona","Angiospermae","Pine/oak/juniper forest",12.3,9,78,39,"Sierra Prieta_Angiospermae",9,2.19722457733622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Swartberg","Southern_Africa","Angiospermae","Minor disturbance, succulent shrubland",13.61250019,18,37,25,"Swartberg_Angiospermae",52,3.95124371858143,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,1,0,0,0,0,0,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,5,3,11,22,2,4,2,1,1,4,4,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"26","Tubac","Arizona","Angiospermae","Sonoran Desert",18.4,5,102,35,"Tubac_Angiospermae",7,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Tucson","Arizona","Gnetidae","Sonoran Desert",18.4,5,102,35,"Tucson_Gnetidae",10,2.30258509299405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Tucson Mountains foothills","Arizona","Angiospermae","Sonoran Desert",20.2,5,62,28,"Tucson Mountains foothills_Angiospermae",11,2.39789527279837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,2,0,2,0,0,0,0,0,5,0,0,0,1,0,3,1,1,1,5,0,0,0
"31","Tucson, central","Arizona","Angiospermae","Sonoran Desert",20.9,5,57,26,"Tucson, central_Angiospermae",3,1.09861228866811,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"32","Tucson, First/River/CAC","Arizona","Angiospermae","Sonoran Desert",20.6,5,56,26,"Tucson, First/River/CAC_Angiospermae",34,3.52636052461616,3,0,1,1,4,1,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,8,26,6,1,0,0,0,4,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,23,0,0,1,14,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1
"33","Tucson, Grant/Santa Cruz","Arizona","Angiospermae","Sonoran Desert",20.6,5,56,26,"Tucson, Grant/Santa Cruz_Angiospermae",22,3.09104245335832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,1,39,0,0,0,1,4,4,2,1,3,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Tucson, Swan/Rillito","Arizona","Angiospermae","Sonoran Desert",20.4,5,59,28,"Tucson, Swan/Rillito_Angiospermae",29,3.36729582998647,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,5,9,10,29,1,2,0,1,0,0,0,5,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,1,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"35","Vail","Arizona","Angiospermae","Sonoran Desert",18.4,5,94,36,"Vail_Angiospermae",23,3.13549421592915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,7,0,0,2,1,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0
"36","Waterberg","Southern_Africa","Angiospermae","Primary forest with large Ficus at the base of Waterberg Plateau",19.36666679,0,112,37.41666667,"Waterberg_Angiospermae",20,2.99573227355399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Welwitschia","Southern_Africa","Angiospermae","Shale ridges and arroyo with Fabaceae",20.8125,0,16,3.916666667,"Welwitschia_Angiospermae",4,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","West_Coast","Southern_Africa","Angiospermae","Rich Langebaan dune strandveld community above dunes. Euphorbiaceae, Crassulaceae, mistletoes; many epiphytic lichens",16.11666679,7,59,27.66666667,"West_Coast_Angiospermae",36,3.58351893845611,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,7,1,0,0,0,0,0,1,0,1,4,3,2,3,4,0,3,1,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"39","Willcox","Arizona","Angiospermae","Sonoran Desert",16.1,6,68,28,"Willcox_Angiospermae",13,2.56494935746154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
